Student_ID,Event_Name,Rating,Feedback_Text
1,Tech Symposium,5,"Great event, very informative"
2,Tech Symposium,4,Well organized and engaging
3,Tech Symposium,4,Good speakers but sessions were long
4,Tech Symposium,3,Average experience
5,Tech Symposium,5,Loved the workshops
6,Tech Symposium,4,Nice event overall
7,Tech Symposium,3,Could be better managed
8,Tech Symposium,4,Enjoyed networking sessions
9,Tech Symposium,5,Excellent arrangements
10,Tech Symposium,2,Poor audio quality
11,Tech Symposium,4,Good learning experience
12,Tech Symposium,5,Amazing speakers
13,Tech Symposium,3,Content was okay
14,Tech Symposium,4,Well structured event
15,Tech Symposium,4,Good effort by organizers
16,Tech Symposium,5,Very informative sessions
17,Tech Symposium,5,Loved the keynote
18,Tech Symposium,4,Good but can improve
19,Tech Symposium,3,Average organization
20,Tech Symposium,2,Not satisfied
21,Tech Symposium,4,Nice sessions
22,Tech Symposium,5,Very engaging event
23,Tech Symposium,5,Excellent content
24,Tech Symposium,4,Good overall
25,Tech Symposium,3,Needs improvement
26,Tech Symposium,4,Enjoyed the event
27,Tech Symposium,5,Very helpful
28,Tech Symposium,4,Good experience
29,Tech Symposium,3,Could be shorter
30,Tech Symposium,2,Disappointing experience
31,Tech Symposium,5,Fantastic event
32,Tech Symposium,4,Nice speakers
33,Tech Symposium,4,Good management
34,Tech Symposium,3,Okay experience
35,Tech Symposium,5,Highly informative
36,Tech Symposium,5,Outstanding event
37,Tech Symposium,4,Well planned
38,Tech Symposium,3,Needs better timing
39,Tech Symposium,4,Good interaction
40,Tech Symposium,5,Excellent execution
41,Tech Symposium,2,Bad coordination
42,Tech Symposium,3,Average sessions
43,Tech Symposium,4,Nice event
44,Tech Symposium,5,Loved it
45,Tech Symposium,4,Good content
46,Tech Symposium,3,Okayish
47,Tech Symposium,4,Good experience
48,Tech Symposium,5,Enjoyed sessions
49,Tech Symposium,4,Very informative
50,Tech Symposium,5,Excellent overall
